LanguageHaveWorkedWith,Currency,Country,RemoteWork,CompTotal
HTML/CSS;JavaScript;Python,USD	United States dollar,United States of America,Remote,285000.0
Go;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,USD	United States dollar,United States of America,Remote,80000.0
C#;C++;HTML/CSS;JavaScript;Python,USD	United States dollar,United States of America,Remote,
C;C++;Python;Rust,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",150000.0
Bash/Shell (all shells);Delphi;HTML/CSS;PHP;PowerShell;Python;SQL,EUR European Euro,Germany,Remote,80000.0
Bash/Shell (all shells);C++;PowerShell;Python,EUR European Euro,Germany,Remote,65000.0
Java;JavaScript;Lua;Python;SQL;TypeScript,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",50000.0
Bash/Shell (all shells);Java;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,EUR European Euro,Germany,Remote,50408.0
Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL;TypeScript,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",80800.0
HTML/CSS;JavaScript;Python;TypeScript,USD	United States dollar,United States of America,In-person,145000.0
Go;HTML/CSS;JavaScript;PowerShell;Python;Rust,USD	United States dollar,United States of America,Remote,200990.0
Bash/Shell (all shells);C++;Python,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",90000.0
Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;Python;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",
Python;R;SQL,USD	United States dollar,United States of America,Remote,150000.0
Go;Groovy;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL,USD	United States dollar,United States of America,Remote,200000.0
HTML/CSS;JavaScript;PHP;Python,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",45000.0
Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Lua;Perl;PHP;PowerShell;Python;SQL,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",55000.0
Bash/Shell (all shells);Python;SQL,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",70000.0
Apex;HTML/CSS;JavaScript;Python;SQL,USD	United States dollar,United States of America,Remote,120000.0
Go;Lua;Python;SQL,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",
HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,EUR European Euro,Germany,In-person,
C#;Python;SQL,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",74000.0
HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",57000.0
C++;Groovy;Python,EUR European Euro,Germany,In-person,
Go;HTML/CSS;Java;JavaScript;Python;SQL,EUR European Euro,Germany,Remote,52000.0
Go;Java;JavaScript;Python;Rust;TypeScript,USD	United States dollar,United States of America,Remote,150000.0
C#;Java;Kotlin;Python;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",
C#;Java;JavaScript;Python,EUR European Euro,Germany,Remote,
Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;SQL;TypeScript;VBA,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",
C++;Go;Groovy;Java;Python;SQL;TypeScript,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",75000.0
HTML/CSS;Python;SQL,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",55000.0
C#;JavaScript;PowerShell;Python;SQL,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",60000.0
Java;Python;R;Scala,USD	United States dollar,United States of America,Remote,
Bash/Shell (all shells);C;C#;C++;Java;JavaScript;Python;SQL,EUR European Euro,Germany,Remote,
C;C++;Python,EUR European Euro,Germany,In-person,40579.0
Bash/Shell (all shells);Groovy;Java;JavaScript;Kotlin;MATLAB;Python;SQL;TypeScript,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",140000.0
C#;HTML/CSS;Java;JavaScript;PowerShell;Python;R;SQL;TypeScript,EUR European Euro,Germany,Remote,72000.0
Assembly;Bash/Shell (all shells);C;C#;C++;F#;HTML/CSS;JavaScript;Kotlin;PowerShell;Python;SQL;Swift;TypeScript,USD	United States dollar,United States of America,Remote,180000.0
Bash/Shell (all shells);Python,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",35000.0
Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;Ruby;SQL,EUR European Euro,Germany,Remote,60000.0
C;Python,EUR European Euro,Germany,In-person,
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;Rust;SQL;TypeScript,EUR European Euro,Germany,In-person,60000.0
Bash/Shell (all shells);C;C++;Fortran;Go;HTML/CSS;JavaScript;Julia;PowerShell;Python;R;SAS;SQL;TypeScript,USD	United States dollar,United States of America,In-person,167000.0
C;C++;Groovy;HTML/CSS;Java;JavaScript;PHP;PowerShell;Prolog;Python;Visual Basic (.Net),USD	United States dollar,United States of America,Remote,125000.0
C#;Groovy;HTML/CSS;Java;JavaScript;PHP;Python;SQL,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",
Bash/Shell (all shells);C++;Python,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",6200.0
Bash/Shell (all shells);C;C#;C++;Erlang;JavaScript;Python;SQL,USD	United States dollar,United States of America,Remote,80000.0
Bash/Shell (all shells);C;C++;Julia;PowerShell;Python;Rust,EUR European Euro,Germany,In-person,
HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,EUR European Euro,Germany,Remote,39000.0
C;C++;Python,USD	United States dollar,United States of America,Remote,120000.0
Julia;MATLAB;Python,EUR European Euro,Germany,Remote,110000.0
Bash/Shell (all shells);C;C#;Python,EUR European Euro,Germany,In-person,
HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,90000.0
Bash/Shell (all shells);Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",165974.0
HTML/CSS;JavaScript;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,192000.0
Bash/Shell (all shells);JavaScript;Python;Rust,EUR European Euro,Germany,Remote,100000.0
